board_number,zone_id,seats,n_candidates,zone_labels,municipalities,n_municipalities,board_source,empty,sources
B28037,B28037-trustee-english-public-near-north-district-school-board-zone,,1,"TRUSTEE, ENGLISH PUBLIC - NEAR NORTH DISTRICT SCHOOL BOARD ZONE 3",3549005:The Archipelago,1,label,0,harvest
B28037,B28037-trustees-english-public-school-board-ep-1-to-be-elected,,1,Trustees – English Public School Board (EP) (1 to be elected),3548021:Mattawa,1,label,0,harvest
B28045,B28045-english-public-school-board-trustee-3-seats,,4,English Public School Board Trustee (3 seats),3560010:Kenora,1,label,0,harvest
B28045,B28045-english-public-school-board-trustee-one-1-to-be-elected-keew,,3,English Public School Board Trustee - One (1) to be elected Keewatin-Patricia District School Board,3560027:Dryden,1,label,0,harvest
B28045,B28045-english-public-school-trustee,,0,English Public School Trustee,"3560034:Sioux Lookout, Municipality (MU)",1,resolved-from-jurisdictions,1,harvest
B28053,B28053-rainy-river-district-school-board-trustee,,1,Rainy River District School Board Trustee,3559019:Emo,1,label,0,harvest
B28061,B28061-english-public-school-board-trustee-eight-8-to-be-elected,,12,English Public School Board Trustee - Eight (8) to be elected,3558004:Thunder Bay,1,label,0,harvest
B28070,B28070-superior-greenstone-district-schoolboard-english-public,,1,Superior Greenstone District Schoolboard (English Public),3558054:Terrace Bay,1,label,0,harvest
B29009,B29009-english-catholic-school-board,,1,English Catholic School Board,"3548069:Temagami, Municipality (MU)",1,inferred-from-candidate-set,0,harvest
B29009,B29009-school-board-trustee-english-separate-northeastern-catholic-,,1,School Board Trustee - English Separate Northeastern Catholic District School Board - Zone B,3554020:Temiskaming Shores,1,label,0,harvest
B29017,B29017-2026-municipal-candidates,,5,2026 Municipal Candidates,3548027:Bonfield,1,label,0,harvest
B29017,B29017-committees-of-council,,4,Committees of Council:,3549071:Nipissing,1,label,0,harvest
B29017,B29017-council-appointment-to-boards,,1,Council Appointment to Boards:,3549071:Nipissing,1,label,0,harvest
B29017,B29017-nipissing-parry-sound-catholic-district-school-board-east-an,,2,Nipissing-Parry Sound Catholic District School Board - East and South of the City of North Bay School Board | Trustees – English Separate School Board (ES),3548021:Mattawa | 3549024:Ryerson,2,label,0,harvest
B29017,B29017-nipissing-parry-sound-district-catholic-school-board,,5,Nipissing Parry Sound District Catholic School Board | Nipissing-Parry Sound Catholic District School Board,3548044:North Bay | 3548055:West Nipissing / Nipissing Ouest,2,label,0,harvest
B29025,B29025-hscdsb-trustee,,6,HSCDSB Trustee,"3557061:Sault Ste. Marie, City (CY)",1,label,0,harvest
B29033,B29033-school-board-trustee-english-separate,,3,SCHOOL BOARD TRUSTEE: English Separate,3552036:Killarney,1,label,0,harvest
B29033,B29033-sudbury-catholic-district-school-board-trustee-zone-1,,1,Sudbury Catholic District School Board Trustee - Zone 1,3553005:Greater Sudbury,1,label,0,harvest
B29033,B29033-sudbury-catholic-district-school-board-trustee-zone-2,,1,Sudbury Catholic District School Board Trustee - Zone 2,3553005:Greater Sudbury,1,label,0,harvest
B29033,B29033-sudbury-catholic-district-school-board-trustee-zone-3,,1,Sudbury Catholic District School Board Trustee - Zone 3,3553005:Greater Sudbury,1,label,0,harvest
B29033,B29033-sudbury-catholic-district-school-board-trustee-zone-4,,1,Sudbury Catholic District School Board Trustee - Zone 4,3553005:Greater Sudbury,1,label,0,harvest
B29033,B29033-sudbury-catholic-district-school-board-trustee-zone-5,,3,Sudbury Catholic District School Board Trustee - Zone 5,3553005:Greater Sudbury,1,label,0,harvest
B29033,B29033-sudbury-catholic-district-school-board-trustee-zone-6,,1,Sudbury Catholic District School Board Trustee - Zone 6,3553005:Greater Sudbury,1,label,0,harvest
B29041,B29041-english-separate-school-board-trustee-two-2-to-be-elected-no,,3,English Separate School Board Trustee - Two (2) to be elected Northwest Catholic District School Board,3560027:Dryden,1,label,0,harvest
B29041,B29041-english-separate-school-trustee,,0,English Separate School Trustee,"3560034:Sioux Lookout, Municipality (MU)",1,resolved-from-jurisdictions,1,harvest
B29050,B29050-english-catholic-school-board-trustee,,5,English Catholic School Board Trustee,3560010:Kenora,1,label,0,harvest
B29068,B29068-english-separate-school-board-trustee-six-6-to-be-elected,,8,English Separate School Board Trustee - Six (6) to be elected,3558004:Thunder Bay,1,label,0,harvest
B29076,B29076-superior-north-catholic-district-school-board-english-separa,,2,Superior North Catholic District School Board (English Separate),3558054:Terrace Bay,1,label,0,harvest
B66001,B66001-bluewater-district-school-board-trustee,,2,Bluewater District School Board Trustee,"3542059:Owen Sound, City (CY)",1,label,0,harvest
B66001,B66001-bluewater-district-school-board-trustee-english-public,,1,Bluewater District School Board Trustee – English Public,3542004:West Grey,1,label,0,harvest
B66001,B66001-bluewater-district-school-board-trustee-english-public,,2,Bluewater District School Board Trustee - English Public,3542045:The Blue Mountains,1,label,0,harvest
B66001,B66001-english-public-school-board-trustee-bluewater-district-schoo,,1,English Public School Board Trustee (Bluewater District School Board) - Acclaimed,3541032:Brockton,1,label,0,harvest
B66001,B66001-official-list-of-candidates-for-english-public-school-board-,,1,Official List of Candidates for English Public School Board Trustee,3542053:Georgian Bluffs,1,label,0,harvest
B66010,B66010-avon-maitland-district-school-board-english,,2,Avon Maitland District School Board (English),3531013:Perth South,1,label,0,harvest
B66010,B66010-avon-maitland-district-school-board-trustee,,4,Avon Maitland District School Board Trustee,"3531011:Stratford, City (CY)",1,label,0,harvest
B66010,B66010-school-board-trustee-amdsb,,1,School Board Trustee - AMDSB,3540050:Morris-Turnberry,1,label,0,harvest
B66010,B66010-school-board-trustee-english-public-avon-maitland-district-s,,1,School Board Trustee – Avon Maitland District School Board | School Board Trustee – English Public (Avon Maitland District School Board) | School Board Trustee – English Public – Avon Maitland District School Board | Trustee – Avon Maitland District School Board Board (English Public),3540005:South Huron | 3540010:Bluewater,2,label,0,harvest
B66010,B66010-trustee-amdsb,,1,Trustee AMDSB,3540028:Goderich,1,label,0,harvest
B66010,B66010-trustee-avon-maitland-district-school-board-english-public,,1,Trustee – Avon Maitland District School Board (English Public),3531040:North Perth,1,label,0,harvest
B66028,B66028-greater-essex-county-district-school-board-trustee-english-p,,2,Greater Essex County District School Board Trustee (English Public Board),3537013:Kingsville,1,label,0,harvest
B66028,B66028-trustee-gecdsb-wards-1-2-9,,6,"Trustee - GECDSB - Wards 1, 2 & 9","3537039:Windsor, City (CY)",1,label,0,harvest
B66028,B66028-trustee-gecdsb-wards-3-4-10,,6,"Trustee - GECDSB - Wards 3, 4 & 10","3537039:Windsor, City (CY)",1,label,0,harvest
B66028,B66028-trustee-gecdsb-wards-5-6-7-8,,6,"Trustee - GECDSB - Wards 5, 6, 7 & 8","3537039:Windsor, City (CY)",1,label,0,harvest
B66036,B66036-trustee-lambton-kent-district-school-board-english-public-ac,,1,Trustee – Lambton Kent District School Board (English Public) (Acclaimed),3538043:Warwick,1,label,0,harvest
B66036,B66036-trustee-lambton-kent-district-school-board-english-public-sc,,5,"Trustee, Lambton Kent District School Board (English Public School Board)",3538030:Sarnia,1,label,0,harvest
B66044,B66044-english-public-school-trustee,,3,English Public School Trustee,"3532042:Woodstock, City (CY)",1,resolved-from-jurisdictions,0,harvest
B66044,B66044-english-public-trustee-wards-1-11-12-14,,6,"English Public Trustee Wards 1, 11, 12 & 14","3539036:London, City (CY)",1,resolved-from-jurisdictions,0,harvest
B66044,B66044-english-public-trustee-wards-2-3-4-5-6,,9,"English Public Trustee Wards 2, 3, 4, 5 & 6","3539036:London, City (CY)",1,resolved-from-jurisdictions,0,harvest
B66044,B66044-english-public-trustee-wards-7-8-9-10-13,,9,"English Public Trustee Wards 7, 8, 9, 10 & 13","3539036:London, City (CY)",1,resolved-from-jurisdictions,0,harvest
B66044,B66044-thames-valley-district-school-board,,2,Thames Valley District School Board,3534020:Central Elgin,1,label,0,harvest
B66044,B66044-thames-valley-district-school-board-2-positions,,3,Thames Valley District School Board (2 Positions),3532002:Norwich,1,label,0,harvest
B66044,B66044-thames-valley-district-school-board-trustee-two-2-to-be-elec,,3,School Board Trustee | Thames Valley District School Board Trustee - two (2) to be elected (English Public),3539027:Thames Centre | 3539041:North Middlesex,2,label,0,harvest
B66044,B66044-thames-valley-district-school-board-trustee-two-to-be-electe,,2,Thames Valley District School Board Trustee (English Public) | Thames Valley District School Board Trustee (Two to be elected by English public school electors in Oxford County) | Thames Valley School Board - Acclaimed,3532004:Tillsonburg | 3532018:Ingersoll | 3532038:East Zorra-Tavistock,3,label,0,harvest
B66044,B66044-trustee-thames-valley-district-school-board-tvdsb,,5,"Trustee, Thames Valley District School Board (TVDSB)",3539033:Middlesex Centre,1,label,0,harvest
B66044,B66044-trustee-thames-valley-district-school-board-tvdsb,,11,"Trustee, Thames Valley District School Board (TVDSB)",3539033:Middlesex Centre,1,label,0,harvest
B66052,B66052-ward-1,,6,Ward 1,3520005:Toronto,1,label,0,harvest
B66052,B66052-ward-10,,9,Ward 10,3520005:Toronto,1,label,0,harvest
B66052,B66052-ward-11,,6,Ward 11,3520005:Toronto,1,label,0,harvest
B66052,B66052-ward-12,,9,Ward 12,3520005:Toronto,1,label,0,harvest
B66052,B66052-ward-2,,3,Ward 2,3520005:Toronto,1,label,0,harvest
B66052,B66052-ward-3,,8,Ward 3,3520005:Toronto,1,label,0,harvest
B66052,B66052-ward-4,,4,Ward 4,3520005:Toronto,1,label,0,harvest
B66052,B66052-ward-5,,9,Ward 5,3520005:Toronto,1,label,0,harvest
B66052,B66052-ward-6,,4,Ward 6,3520005:Toronto,1,label,0,harvest
B66052,B66052-ward-7,,8,Ward 7,3520005:Toronto,1,label,0,harvest
B66052,B66052-ward-8,,7,Ward 8,3520005:Toronto,1,label,0,harvest
B66052,B66052-ward-9,,4,Ward 9,3520005:Toronto,1,label,0,harvest
B66060,B66060-durham-district-school-board-trustee-two-to-be-elected,,10,Durham District School Board Trustee (two to be elected),"3518009:Whitby, Town (T)",1,label,0,harvest
B66060,B66060-english-public-school-board-trustee,,4,ENGLISH PUBLIC SCHOOL BOARD TRUSTEE | School Board Trustee English Public,"3518020:Scugog, Township (TP) | 3518029:Uxbridge, Township (TP)",2,resolved-from-jurisdictions,0,harvest
B66060,B66060-english-public-school-trustee,,0,English Public School Trustee,"3518005:Ajax, Town (T)",1,resolved-from-jurisdictions,1,harvest
B66060,B66060-trustee-durham-district-school-board,,6,"Trustee, Durham District School Board","3518001:Pickering, City (CY)",1,label,0,harvest
B66060,B66060-trustee-durham-district-school-board,,7,Trustee - Durham District School Board,"3518013:Oshawa, City (CY)",1,label,0,harvest
B66079,B66079-english-public-school-trustee,,4,English Public School Trustee,"3514021:Cobourg, Town (T)",1,inferred-from-candidate-set,0,harvest
B66079,B66079-kawartha-pine-ridge-district-school-board-trustee,,4,Kawartha Pine Ridge District School Board Trustee,"3518017:Clarington, Municipality (MU)",1,label,0,harvest
B66079,B66079-kawartha-pine-ridge-district-school-board-trustee,,3,Kawartha Pine Ridge District School Board Trustee,"3515014:Peterborough, City (CY)",1,label,0,harvest
B66079,B66079-nominations-for-office-of-school-board-trustee-english-publi,,4,Nominations for Office of School Board Trustee - English Public Kawartha Pine Ridge District School Board,3514045:Trent Hills,1,label,0,harvest
B66079,B66079-school-board-trustee-english-public,,2,"School Board Trustee, English Public",3514004:Brighton,1,label,0,harvest
B66087,B66087-don-embree,,2,Don Embree,3546018:Algonquin Highlands,1,label,0,harvest
B66087,B66087-english-public-school-board-trustee,,2,English Public School Board Trustee | English Public School Trustee,"3544027:Lake of Bays, Township (TP) | 3544042:Huntsville, Town (T)",2,resolved-from-jurisdictions,0,harvest
B66087,B66087-english-public-school-trustee,,2,English Public School Trustee,"3544002:Gravenhurst, Town (T)",1,inferred-from-candidate-set,0,harvest
B66087,B66087-public-school-trustee-trillium-district,,2,Public School Trustee-Trillium District,"3544065:Georgian Bay, Township (TP)",1,label,0,harvest
B66087,B66087-trustee-english-public-school-board,,2,Trustee - English Public School Board,3546024:Dysart et al,1,label,0,harvest
B66095,B66095-english-public-school-trustee,,2,English Public School Trustee,"3519054:East Gwillimbury, Town (T)",1,resolved-from-jurisdictions,0,harvest
B66095,B66095-english-public-school-trustee,,3,English Public School Trustee,"3519049:King, Township (TP)",1,inferred-from-candidate-set,0,harvest
B66095,B66095-school-board-trustee-english-public,,3,"School Board Trustee, English Public","3519044:Whitchurch-Stouffville, Town (T)",1,inferred-from-candidate-set,0,harvest
B66095,B66095-trustee-york-region-district-school-board-wards-1-8,,4,"Trustee, York Region District School Board (Wards 1 & 8)","3519036:Markham, City (CY)",1,label,0,harvest
B66095,B66095-trustee-york-region-district-school-board-wards-2-6,,2,"Trustee, York Region District School Board (Wards 2 & 6)","3519036:Markham, City (CY)",1,label,0,harvest
B66095,B66095-trustee-york-region-district-school-board-wards-3-4,,2,"Trustee, York Region District School Board (Wards 3 & 4)","3519036:Markham, City (CY)",1,label,0,harvest
B66095,B66095-trustee-york-region-district-school-board-wards-5-7,,4,"Trustee, York Region District School Board (Wards 5 & 7)","3519036:Markham, City (CY)",1,label,0,harvest
B66095,B66095-trustee-york-region-district-school-board-wds-1-2-4,,5,"Trustee - York Region District School Board Wds 1,2,4","3519038:Richmond Hill, Town (T)",1,label,0,harvest
B66095,B66095-trustee-york-region-district-school-board-wds-3-5-6,,2,"Trustee - York Region District School Board Wds 3,5,6","3519038:Richmond Hill, Town (T)",1,label,0,harvest
B66095,B66095-york-region-district-school-board-trustee,,1,York Region District School Board Trustee,3519070:Georgina,1,label,0,harvest
B66095,B66095-york-region-district-school-board-trustee-for-aurora-and-whi,,3,York Region District School Board Trustee for Aurora and Whitchurch-Stouffville,"3519046:Aurora, Town (T)",1,label,0,harvest
B66095,B66095-yrdsb-trustee-area-1-township-of-king-vaughan-ward-1,,3,YRDSB Trustee - Area 1 (Township of King & Vaughan Ward 1),"3519028:Vaughan, City (CY)",1,label,0,harvest
B66095,B66095-yrdsb-trustee-area-2-ward-2-3,,5,YRDSB Trustee - Area 2 (Ward 2 & 3),"3519028:Vaughan, City (CY)",1,label,0,harvest
B66095,B66095-yrdsb-trustee-area-3-ward-4-5,,4,YRDSB Trustee - Area 3 (Ward 4 & 5),"3519028:Vaughan, City (CY)",1,label,0,harvest
B66109,B66109-english-public-school-board-trustee,,5,English Public School Board Trustee,"3543031:Collingwood, Town (T)",1,resolved-from-jurisdictions,0,harvest
B66109,B66109-english-public-school-board-trustee-simcoe-county-district-s,,2,English Public School Board Trustee (Simcoe County District School Board),3543014:Bradford West Gwillimbury,1,label,0,harvest
B66109,B66109-english-public-school-trustee,,3,English Public School Trustee,"3543068:Tiny, Township (TP)",1,resolved-from-jurisdictions,0,harvest
B66109,B66109-member-simcoe-county-district-school-board-area-1,,3,Member - Simcoe County District School Board - Area 1,"3543042:Barrie, City (CY)",1,label,0,harvest
B66109,B66109-member-simcoe-county-district-school-board-area-2,,3,Member - Simcoe County District School Board - Area 2,"3543042:Barrie, City (CY)",1,label,0,harvest
B66109,B66109-member-simcoe-county-district-school-board-area-3,,5,Member - Simcoe County District School Board - Area 3,"3543042:Barrie, City (CY)",1,label,0,harvest
B66109,B66109-member-simcoe-county-district-school-board-english-public,,2,"Member - Simcoe County District School Board (English Public) | Trustee, English-Public",3543019:Ramara | 3543052:Orillia,2,label,0,harvest
B66109,B66109-simcoe-county-district-school-board-english-public,,1,School Board Trustee - English Public | Simcoe County District School Board (English-Public),3543003:Adjala-Tosorontio | 3543005:Clearview,2,label,0,harvest
B66109,B66109-simcoe-county-district-school-board-english-public,,2,Simcoe County District School Board (English Public),3543009:Springwater,1,label,0,harvest
B66109,B66109-simcoe-county-district-school-board-trustee,,1,Simcoe County District School Board Trustee,3543017:Innisfil,1,label,0,harvest
B66109,B66109-trustee-english-language-public-school-board-simcoe-county-d,,3,"Trustee, English Language Public School Board (Simcoe County District School Board)",3543074:Midland,1,label,0,harvest
B66117,B66117-acclaimed-candidate-for-school-board-trustee-english-public-,,1,*Acclaimed Candidate for School Board Trustee - English Public (Upper Grand District School Board),3522014:Orangeville,1,label,0,harvest
B66117,B66117-candidates-for-school-board-trustee,,1,Candidates for School Board Trustee,3522008:Amaranth,1,label,0,harvest
B66117,B66117-election-results-upper-grand-district-school-board-trustee,,2,Election Results: Upper Grand District School Board Trustee,3522012:Mono,1,label,0,harvest
B66117,B66117-upper-grand-district-school-board-trustee-ward-6-and-townshi,,2,Upper Grand District School Board Trustee - Ward 6 and Township of Puslinch,"3523008:Guelph, City (CY)",1,label,0,harvest
B66117,B66117-upper-grand-district-school-board-trustee-wards-1-and-5,,3,Upper Grand District School Board Trustee - Wards 1 and 5,"3523008:Guelph, City (CY)",1,label,0,harvest
B66117,B66117-upper-grand-district-school-board-trustee-wards-2-3-4,,4,"Upper Grand District School Board Trustee - Wards 2, 3, 4","3523008:Guelph, City (CY)",1,label,0,harvest
B66125,B66125-english-public-school-board-trustee,,2,English Public School Board Trustee,"3521024:Caledon, Town (T)",1,resolved-from-jurisdictions,0,harvest
B66125,B66125-peel-district-school-board-wards-1-5,,4,"Peel District School Board - Wards 1, 5","3521010:Brampton, City (CY)",1,label,0,harvest
B66125,B66125-peel-district-school-board-wards-2-6,,7,"Peel District School Board - Wards 2, 6","3521010:Brampton, City (CY)",1,label,0,harvest
B66125,B66125-peel-district-school-board-wards-3-4,,5,"Peel District School Board - Wards 3, 4","3521010:Brampton, City (CY)",1,label,0,harvest
B66125,B66125-peel-district-school-board-wards-7-8,,5,"Peel District School Board - Wards 7, 8","3521010:Brampton, City (CY)",1,label,0,harvest
B66125,B66125-peel-district-school-board-wards-9-10,,12,"Peel District School Board - Wards 9, 10","3521010:Brampton, City (CY)",1,label,0,harvest
B66125,B66125-trustee-english-public-ward-5,,4,Trustee English Public Ward 5,"3521005:Mississauga, City (CY)",1,resolved-from-jurisdictions,0,harvest
B66125,B66125-trustee-english-public-wards-1-and-7,,6,Trustee English Public Wards 1 and 7,"3521005:Mississauga, City (CY)",1,resolved-from-jurisdictions,0,harvest
B66125,B66125-trustee-english-public-wards-2-and-8,,4,Trustee English Public Wards 2 and 8,"3521005:Mississauga, City (CY)",1,resolved-from-jurisdictions,0,harvest
B66125,B66125-trustee-english-public-wards-3-and-4,,3,Trustee English Public Wards 3 and 4,"3521005:Mississauga, City (CY)",1,resolved-from-jurisdictions,0,harvest
B66125,B66125-trustee-english-public-wards-6-and-11,,4,Trustee English Public Wards 6 and 11,"3521005:Mississauga, City (CY)",1,resolved-from-jurisdictions,0,harvest
B66125,B66125-trustee-english-public-wards-9-and-10,,2,Trustee English Public Wards 9 and 10,"3521005:Mississauga, City (CY)",1,resolved-from-jurisdictions,0,harvest
B66133,B66133-1-to-be-elected,,2,1 to be elected,3524015:Halton Hills,1,label,0,harvest
B66133,B66133-english-public-school-trustee-wards-1-2,,2,English Public School Trustee Wards 1 & 2,"3524009:Milton, Town (T)",1,resolved-from-jurisdictions,0,harvest
B66133,B66133-english-public-school-trustee-wards-3-4,,5,English Public School Trustee Wards 3 & 4,"3524009:Milton, Town (T)",1,resolved-from-jurisdictions,0,harvest
B66133,B66133-halton-district-school-board-trustee-ward-3-and-6,,3,Halton District School Board Trustee - Ward 3 and 6,"3524001:Oakville, Town (T)",1,label,0,harvest
B66133,B66133-halton-district-school-board-trustee-ward-4,,4,Halton District School Board Trustee - Ward 4,"3524001:Oakville, Town (T)",1,label,0,harvest
B66133,B66133-halton-district-school-board-trustee-wards-1-2,,3,Halton District School Board Trustee - Wards 1 & 2,"3524001:Oakville, Town (T)",1,label,0,harvest
B66133,B66133-halton-district-school-board-trustee-wards-5-7,,6,Halton District School Board Trustee - Wards 5 & 7,"3524001:Oakville, Town (T)",1,label,0,harvest
B66133,B66133-hdsb-trustee-ward-4,,3,HDSB Trustee - Ward 4,"3524002:Burlington, City (CY)",1,label,0,harvest
B66133,B66133-hdsb-trustee-ward-5,,1,HDSB Trustee - Ward 5,"3524002:Burlington, City (CY)",1,label,0,harvest
B66133,B66133-hdsb-trustee-wards-1-2,,1,HDSB Trustee - Wards 1 & 2,"3524002:Burlington, City (CY)",1,label,0,harvest
B66133,B66133-hdsb-trustee-wards-3-6,,2,HDSB Trustee - Wards 3 & 6,"3524002:Burlington, City (CY)",1,label,0,harvest
B66141,B66141-ward-1-english-public,,4,Ward 1 - English Public,3525005:Hamilton,1,label,0,harvest
B66141,B66141-ward-13-english-public,,1,Ward 13 - English Public,3525005:Hamilton,1,label,0,harvest
B66141,B66141-ward-15-english-public,,2,Ward 15 - English Public,3525005:Hamilton,1,label,0,harvest
B66141,B66141-ward-2-english-public,,2,Ward 2 - English Public,3525005:Hamilton,1,label,0,harvest
B66141,B66141-ward-3-english-public,,4,Ward 3 - English Public,3525005:Hamilton,1,label,0,harvest
B66141,B66141-ward-4-english-public,,1,Ward 4 - English Public,3525005:Hamilton,1,label,0,harvest
B66141,B66141-ward-7-english-public,,3,Ward 7 - English Public,3525005:Hamilton,1,label,0,harvest
B66141,B66141-wards-11-12-english-public,,2,Wards 11 & 12 - English Public,3525005:Hamilton,1,label,0,harvest
B66141,B66141-wards-5-10-english-public,,3,Wards 5 & 10 - English Public,3525005:Hamilton,1,label,0,harvest
B66141,B66141-wards-6-9-english-public,,2,Wards 6 & 9 - English Public,3525005:Hamilton,1,label,0,harvest
B66141,B66141-wards-8-14-english-public,,3,Wards 8 & 14 - English Public,3525005:Hamilton,1,label,0,harvest
B66150,B66150-candidates-for-district-school-board-of-niagara-trustee,,5,Candidates for District School Board of Niagara Trustee,3526043:Niagara Falls,1,label,0,harvest
B66150,B66150-english-language-public-district-school-board,,1,English Language Public District School Board,3526011:Port Colborne,1,label,0,harvest
B66150,B66150-school-board-trustee,,10,School Board Trustee,3526053:St. Catharines,1,label,0,harvest
B66168,B66168-grand-erie-public-school-board-candidates,,5,Grand Erie Public School Board candidates,3528018:Haldimand County,1,label,0,harvest
B66168,B66168-public-school-board-trustee,,4,Public School Board Trustee,3529005:Brant,1,label,0,harvest
B66168,B66168-school-board-trustee-grand-erie-district-school-board,,1,School Board Trustee - Grand Erie District School Board,3528018:Haldimand County,1,label,0,harvest
B66176,B66176-english-public-school-board-trustee-1-to-be-elected,,1,English Public School Board Trustee (1 to be elected),3530027:Wellesley,1,label,0,harvest
B66176,B66176-english-public-school-board-trustee-1-to-be-elected,,4,English Public School Board Trustee (1 to be elected),3530027:Wellesley,1,label,0,harvest
B66176,B66176-waterloo-region-district-school-board-english-public-vote-fo,,13,"Waterloo Region District School Board (English public, Vote for no more than 4)",3530013:Kitchener,1,label,0,harvest
B66176,B66176-waterloo-region-district-school-board-trustee-vote-for-no-mo,,7,Waterloo Region District School Board Trustee (Vote for no more than 3),"3530016:Waterloo, City (CY)",1,label,0,harvest
B66184,B66184-zone-1-wards-5-6-21,,4,"Zone 1 (Wards 5, 6, 21)",3506008:Ottawa,1,label,0,harvest
B66184,B66184-zone-10-ward-14,,3,Zone 10 (Ward 14),3506008:Ottawa,1,label,0,harvest
B66184,B66184-zone-11-wards-10-16,,3,"Zone 11 (Wards 10, 16)",3506008:Ottawa,1,label,0,harvest
B66184,B66184-zone-12-wards-2-11,,2,"Zone 12 (Wards 2, 11)",3506008:Ottawa,1,label,0,harvest
B66184,B66184-zone-2-wards-4-23,,2,"Zone 2 (Wards 4, 23)",3506008:Ottawa,1,label,0,harvest
B66184,B66184-zone-3-wards-3-24,,3,"Zone 3 (Wards 3, 24)",3506008:Ottawa,1,label,0,harvest
B66184,B66184-zone-4-wards-7-15,,2,"Zone 4 (Wards 7, 15)",3506008:Ottawa,1,label,0,harvest
B66184,B66184-zone-5-wards-8-9,,3,"Zone 5 (Wards 8, 9)",3506008:Ottawa,1,label,0,harvest
B66184,B66184-zone-6-wards-12-13,,4,"Zone 6 (Wards 12, 13)",3506008:Ottawa,1,label,0,harvest
B66184,B66184-zone-7-wards-20-22,,2,"Zone 7 (Wards 20, 22)",3506008:Ottawa,1,label,0,harvest
B66184,B66184-zone-8-wards-1-19,,2,"Zone 8 (Wards 1, 19)",3506008:Ottawa,1,label,0,harvest
B66184,B66184-zone-9-wards-17-18,,3,"Zone 9 (Wards 17, 18)",3506008:Ottawa,1,label,0,harvest
B66192,B66192-candidates-for-the-upper-canada-district-school-board-englis,,2,Candidates for the Upper Canada District School Board (English Public) | Upper Canada District School Board - English Public,3502001:East Hawkesbury | 3502010:Champlain,2,label,0,harvest
B66192,B66192-english-public-upper-canada-district-school-board-of-eastern,,1,English Public (Upper Canada District School Board of Eastern Ontario) | SCHOOL BOARD TRUSTEE - ENGLISH PUBLIC | School Board Trustee - English Public (UCDSB),3501005:South Glengarry | 3501011:South Stormont | 3501050:North Glengarry,3,label,0,harvest
B66192,B66192-name,,2,Name,3507021:Leeds and the Thousand Islands,1,label,0,harvest
