Region,Board Number,Board Name,Board Language,Board Type,Suite,PO Box,Street,City,Province,Postal Code,Phone Number,Fax,Website
West Region,B67300,Conseil scolaire catholique Providence,French,Cath Dist Sch Brd (E/F),,,7515 Forest Glade Promenade,Windsor,Ontario,N8T3P5,519-948-9227,519-948-1091,www.cscProvidence.ca
North Region,B29114,Conseil scolaire de district catholique Franco-Nord,French,Cath Dist Sch Brd (E/F),,,681-C rue Chippewa Ouest,North Bay,Ontario,P1B6G8,705-472-1702,705-474-3824,https://www.franco-nord.ca
East Region,B67326,Conseil scolaire de district catholique de l'Est ontarien,French,Cath Dist Sch Brd (E/F),,,875 de comté 17 chemin,L'Orignal,Ontario,K0B1K0,613-675-4691,613-675-2921,http://www.csdceo.ca
North Region,B29130,Conseil scolaire de district catholique des Aurores boréales,French,Cath Dist Sch Brd (E/F),210,,180 PARK AVENUE,THUNDER BAY,Ontario,P7B6J4,807-344-2266,807-344-3734,csdcab.ca
North Region,B29106,Conseil scolaire de district catholique des Grandes Rivières,French,Cath Dist Sch Brd (E/F),,,896 Riverside promenade,Timmins,Ontario,P4N3W2,705-267-1421,705-267-7247,http://www.cscdgr.on.ca
East Region,B67334,Conseil scolaire de district catholique du Centre-Est de l'Ontario,French,Cath Dist Sch Brd (E/F),,,4000 Labelle rue,Ottawa,Ontario,K1J1A1,613-744-2555,613-746-3081,http://www.ecolecatholique.ca
North Region,B29122,Conseil scolaire de district catholique du Nouvel-Ontario,French,Cath Dist Sch Brd (E/F),,,201 Jogues rue,Sudbury,Ontario,P3C5L7,705-673-5626,705-669-1270,www.nouvelon.ca
North Region,B28118,Conseil scolaire public du Grand Nord de l'Ontario,French,Pub Dist Sch Brd (E/F),,,296 Van Horne rue,Sudbury,Ontario,P3B1H9,705-671-1533,705-671-1720,http://www.cspgno.ca
North Region,B28100,Conseil scolaire public du Nord-Est de l'Ontario,French,Pub Dist Sch Brd (E/F),,CP 3600,820 Lakeshore promenade,North Bay,Ontario,P1B9T5,705-472-3443,705-472-5757,www.cspne.ca
East Region,B80509,Consortium Centre Jules-Léger,French,Consortium,,,281 Lanark Avenue,Ottawa,Ontario,K1Z6R8,613-761-9300,613-761-9301,https://ccjl.ca/
North Region,B28002,District School Board Ontario North East,English,Pub Dist Sch Brd (E/F),,Box 1020,,Timmins,Ontario,P4N7H7,705-360-1151,705-268-7100,http://www.dsb1.ca
West Region,B66150,District School Board of Niagara,English,Pub Dist Sch Brd (E/F),,,191 Carlton St,St Catharines,Ontario,L2R7P4,905-641-1550,905-685-8511,http://www.dsbn.org
Central Region,B67083,Dufferin-Peel Catholic District School Board,English,Cath Dist Sch Brd (E/F),,,40 Matheson Blvd W,Mississauga,Ontario,L5R1C5,905-890-1221,905-890-7610,http://www.dpcdsb.org
East Region,B67105,Durham Catholic District School Board,English,Cath Dist Sch Brd (E/F),,,650 Rossland Rd W,Oshawa,Ontario,L1J7C4,905-576-6150,905-576-0953,http://www.dcdsb.ca
East Region,B66060,Durham District School Board,English,Pub Dist Sch Brd (E/F),,,400 Taunton Rd E,Whitby,Ontario,L1R2K6,905-666-5500,905-666-6474,www.ddsb.ca
West Region,B66168,Grand Erie District School Board,English,Pub Dist Sch Brd (E/F),,,349 Erie Ave,Brantford,Ontario,N3T5V3,519-756-6301,519-756-9181,www.granderie.ca
East Region,B80020,Grandview School Authority,English,Provincial/Hospital,,,600 Townline Rd S,Oshawa,Ontario,L1H0C8,905-576-8403,905-576-4414,https://grandviewkids.ca/grandview-school/
East Region,B80020,Grandview School Authority,English,Provincial/Hospital,Building B,,1461 Harwood Avenue,Ajax,Ontario,L1T0R3,905-576-8403,,https://grandviewkids.ca/grandview-school/
West Region,B66028,Greater Essex County District School Board,English,Pub Dist Sch Brd (E/F),,Box 210,451 Park St W,Windsor,Ontario,N9A6K1,519-255-3200,519-255-7053,http://www.publicboard.ca
Central Region,B67113,Halton Catholic District School Board,English,Cath Dist Sch Brd (E/F),,Box 5308,802 Drury Lane,Burlington,Ontario,L7R2Y2,905-632-6300,905-333-4661,hcdsb.org
Central Region,B66133,Halton District School Board,English,Pub Dist Sch Brd (E/F),,Box 5005,2050 Guelph Line,Burlington,Ontario,L7R3Z2,905-335-3663,905-335-9802,http://www.hdsb.ca/
West Region,B67121,Hamilton-Wentworth Catholic District School Board,English,Cath Dist Sch Brd (E/F),,Box 2012,90 Mulberry St,Hamilton,Ontario,L8N3R9,905-525-2930,905-525-1724,http://www.hwcdsb.ca/
West Region,B66141,Hamilton-Wentworth District School Board,English,Pub Dist Sch Brd (E/F),,Box 2558,20 Education Court,Hamilton,Ontario,L9A0B9,905-527-5092,905-521-2539,http://www.hwdsb.on.ca
East Region,B66222,Hastings & Prince Edward District School Board,English,Pub Dist Sch Brd (E/F),,,156 Ann St,Belleville,Ontario,K8N3L3,613-966-1170,613-966-6023,http://www.hpedsb.on.ca
West Region,B67016,Huron Perth Catholic District School Board,English,Cath Dist Sch Brd (E/F),,Box 70,87 Mill St,Dublin,Ontario,N0K1E0,519-345-2440,519-345-2449,www.huronperthcatholic.ca
North Region,B29025,Huron-Superior Catholic District School Board,English,Cath Dist Sch Brd (E/F),,,90 Ontario Ave,Sault Ste Marie,Ontario,P6B6G7,705-945-5400,705-945-5575,http://www.hscdsb.on.ca
North Region,B15148,James Bay Lowlands Secondary School Board,English,Sec Sch Brd (Sch Auth),,Box 157,1 Keewatin Dr,Moosonee,Ontario,P0L1Y0,705-336-2903,705-336-0234,jblssb.ca
West Region,B80047,John McGivney Children's Centre School Authority,English,Provincial/Hospital,,,3945 Matchette Road,Windsor,Ontario,N9C4C2,519-977-2200,519-977-2201,http://school.jmccentre.ca
East Region,B66079,Kawartha Pine Ridge District School Board,English,Pub Dist Sch Brd (E/F),,,1994 Fisher Dr,Peterborough,Ontario,K9J6X6,705-742-9773,705-742-7801,http://www.kprschools.ca
North Region,B28045,Keewatin-Patricia District School Board,English,Pub Dist Sch Brd (E/F),4th Floor,,240 Veterans Drive,Kenora,Ontario,P9N3Y5,807-468-5571,807-468-3857,http://www.kpdsb.on.ca
North Region,B29050,Kenora Catholic District School Board,English,Cath Dist Sch Brd (E/F),,,1292 Heenan Place,Kenora,Ontario,P9N2Y8,807-468-9851,807-468-8094,http://www.kcdsb.on.ca
West Region,B80039,KidsAbility Education Authority,English,Provincial/Hospital,,,500 Hallmark Dr,Waterloo,Ontario,N2K3P5,519-886-8886,519-885-6222,www.kidsability.ca
North Region,B28061,Lakehead District School Board,English,Pub Dist Sch Brd (E/F),Jim McCuaig Education Centre,,2135 Sills St,Thunder Bay,Ontario,P7E5T2,807-625-5100,807-622-0961,http://www.lakeheadschools.ca
West Region,B66036,Lambton Kent District School Board,English,Pub Dist Sch Brd (E/F),,Box 2091,200 Wellington St,Sarnia,Ontario,N7T7L2,519-336-1500,519-336-0992,http://www.lkdsb.net
East Region,B66206,Limestone District School Board,English,Pub Dist Sch Brd (E/F),,Postal Bag 610,220 Portsmouth Ave,Kingston,Ontario,K7L4X4,613-544-6920,613-544-6804,http://www.limestone.on.ca
West Region,B67032,London District Catholic School Board,English,Cath Dist Sch Brd (E/F),London DCSB,5474,5200 Wellington Road,London,Ontario,N6A4X5,519-663-2088,519-663-9250,http://ldcsb.on.ca
North Region,B15199,Moose Factory Island District School Area Board,English,Public School Board,,Box 160,,Moose Factory,Ontario,P0L1W0,705-658-4571,705-658-4768,https://mfidsab.ca/mfidsab/
North Region,B15202,Moosonee District School Area Board,English,Public School Board,,Box 250,,Moosonee,Ontario,P0L1Y0,705-336-2300,705-336-0334,mdsab.ca
North Region,B28037,Near North District School Board,English,Pub Dist Sch Brd (E/F),,Box 3110,963 Airport Rd,North Bay,Ontario,P1B8H1,705-472-8170,705-472-9927,http://www.nearnorthschools.ca
West Region,B67156,Niagara Catholic District School Board,English,Cath Dist Sch Brd (E/F),,,427 Rice Rd,Welland,Ontario,L3C7C1,905-735-0240,905-734-8828,http://www.niagaracatholic.ca
West Region,B80004,Niagara Peninsula Children's Centre School Authority,English,Provincial/Hospital,,,567 Glenridge Ave,St Catharines,Ontario,L2T4C2,905-688-3550,905-688-1055,www.npcc.on.ca
North Region,B29017,Nipissing-Parry Sound Catholic District School Board,English,Cath Dist Sch Brd (E/F),,,1000 High St,North Bay,Ontario,P1B6S6,705-472-1201,705-472-0507,www.npsc.ca
North Region,B29009,Northeastern Catholic District School Board,English,Cath Dist Sch Brd (E/F),,,383 Birch St N,Timmins,Ontario,P4N6E8,705-268-7443,705-267-3590,ncdsb.on.ca
North Region,B29041,Northwest Catholic District School Board,English,Cath Dist Sch Brd (E/F),,,555 Flinders Ave,Fort Frances,Ontario,P9A3L2,807-274-2931,807-274-8792,http://www.tncdsb.on.ca
East Region,B67180,Ottawa Catholic School Board,English,Cath Dist Sch Brd (E/F),,,570 West Hunt Club Rd,Nepean,Ontario,K2G3R4,613-224-2222,613-224-5063,http://www.ocsb.ca
East Region,B66184,Ottawa-Carleton District School Board,English,Pub Dist Sch Brd (E/F),,,133 Greenbank Rd,Nepean,Ontario,K2H6L3,613-721-1820,613-820-6968,http://www.ocdsb.ca
Central Region,B66125,Peel District School Board,English,Pub Dist Sch Brd (E/F),,,5650 Hurontario St,Mississauga,Ontario,L5R1C6,905-890-1099,905-890-6747,http://www.peelschools.org
Central Region,B79910,Penetanguishene Protestant Separate School Board,English,Prot Sep Sch Brd (Sch Auth),Unit 48,Box 107,2 Poyntz St.,Penetanguishene,Ontario,L9M1M2,705-549-6422,705-549-2768,https://www.pssbp.ca
East Region,B67067,Peterborough Victoria Northumberland and Clarington Catholic District School Board,English,Cath Dist Sch Brd (E/F),,,1355 Lansdowne St W,Peterborough,Ontario,K9J7M3,705-748-4861,705-748-9734,http://www.pvnccdsb.on.ca
Central Region,B76686,Provincial and Demonstration Schools,English,Provincial/Hospital,Ministry of Education,,255 Ontario St S,Milton,Ontario,L9T2M5,905-878-2851,,https://pdsbnet.ca
North Region,B28029,Rainbow District School Board,English,Pub Dist Sch Brd (E/F),,,408 Wembley Drive,Sudbury,Ontario,P3E1P2,705-674-3171,705-674-9112,http://www.rainbowschools.ca
North Region,B28053,Rainy River District School Board,English,Pub Dist Sch Brd (E/F),,,522 Second St E,Fort Frances,Ontario,P9A1N4,807-274-9855,807-274-5078,http://www.rrdsb.com
East Region,B67199,Renfrew County Catholic District School Board,English,Cath Dist Sch Brd (E/F),,,499 Pembroke St W,Pembroke,Ontario,K8A5P1,613-735-1031,613-735-2649,https://rccdsb.ca/
East Region,B66214,Renfrew County District School Board,English,Pub Dist Sch Brd (E/F),,,1270 Pembroke St W,Pembroke,Ontario,K8A4G4,613-735-0151,613-735-6315,http://www.renfrew.edu.on.ca
Central Region,B66109,Simcoe County District School Board,English,Pub Dist Sch Brd (E/F),,,1170 26 Highway,Midhurst,Ontario,L9X1N6,705-728-7570,705-728-2265,http://www.scdsb.on.ca
Central Region,B67091,Simcoe Muskoka Catholic District School Board,English,Cath Dist Sch Brd (E/F),,,46 Alliance Blvd,Barrie,Ontario,L4M5K3,705-722-3555,705-722-6534,http://www.smcdsb.on.ca
West Region,B67040,St Clair Catholic District School Board,English,Cath Dist Sch Brd (E/F),,,420 Creek St,Wallaceburg,Ontario,N8A4C4,519-627-6762,519-627-8230,http://www.st-clair.net
North Region,B29033,Sudbury Catholic District School Board,English,Cath Dist Sch Brd (E/F),,,165 A D'Youville St,Sudbury,Ontario,P3C5E7,705-673-5620,705-688-1781,http://www.scdsb.edu.on.ca
North Region,B29076,Superior North Catholic District School Board,English,Cath Dist Sch Brd (E/F),,Box 610,21 Simcoe Plaza,Terrace Bay,Ontario,P0T2W0,807-825-3209,807-825-3885,http://www.sncdsb.on.ca
North Region,B28070,Superior-Greenstone District School Board,English,Pub Dist Sch Brd (E/F),,Postal Bag A,12 Hemlo Dr,Marathon,Ontario,P0T2E0,807-229-0436,807-229-1471,http://www.sgdsb.on.ca
West Region,B66044,Thames Valley District School Board,English,Pub Dist Sch Brd (E/F),,Box 5888,1250 Dundas St E,London,Ontario,N6A5L1,519-452-2000,519-452-2395,http://www.tvdsb.on.ca
North Region,B29068,Thunder Bay Catholic District School Board,English,Cath Dist Sch Brd (E/F),,,459 Victoria Ave.  West,Thunder Bay,Ontario,P7C0A4,807-625-1555,807-623-0431,http://www.tbcschools.ca
Toronto Region,B67059,Toronto Catholic District School Board,English,Cath Dist Sch Brd (E/F),Catholic Education Centre,,80 Sheppard Ave E,Toronto,Ontario,M2N6E8,416-222-8282,416-229-5353,http://www.tcdsb.org
Toronto Region,B66052,Toronto District School Board,English,Pub Dist Sch Brd (E/F),,,5050 Yonge St,Toronto,Ontario,M2N5N8,416-397-3000,416-395-8280,http://www.tdsb.on.ca
Central Region,B66087,Trillium Lakelands District School Board,English,Pub Dist Sch Brd (E/F),Education Centre,,300 County Rd 36,Lindsay,Ontario,K9V4R4,705-324-6776,705-328-2036,http://www.tldsb.ca
East Region,B66192,Upper Canada District School Board,English,Pub Dist Sch Brd (E/F),,,225 Central Avenue,Brockville,Ontario,K6V5X1,613-342-0371,613-342-0277,http://www.ucdsb.on.ca
West Region,B66117,Upper Grand District School Board,English,Pub Dist Sch Brd (E/F),,,500 Victoria Rd N,Guelph,Ontario,N1E6K2,519-822-4420,519-826-9534,https://www.ugdsb.ca
West Region,B67148,Waterloo Catholic District School Board,English,Cath Dist Sch Brd (E/F),A,Box 91116,35 Weber Street,Kitchener,Ontario,N2G4G2,519-578-3660,519-578-5291,http://www.wcdsb.ca
West Region,B66176,Waterloo Region District School Board,English,Pub Dist Sch Brd (E/F),,,51 Ardelt Ave,Kitchener,Ontario,N2C2R5,519-570-0300,519-742-1364,www.wrdsb.on.ca
West Region,B67130,Wellington Catholic District School Board,English,Cath Dist Sch Brd (E/F),,,255 Speedvale Ave. W.,Guelph,Ontario,N1H1C5,519-821-4640,519-824-3088,www.wellingtoncdsb.ca
West Region,B67024,Windsor-Essex Catholic District School Board,English,Cath Dist Sch Brd (E/F),,,1325 California Ave,Windsor,Ontario,N9B3Y6,519-253-2481,519-253-4819,http://www.wecdsb.on.ca
Central Region,B67075,York Catholic District School Board,English,Cath Dist Sch Brd (E/F),,,320 Bloomington Rd W,Aurora,Ontario,L4G0M1,905-713-2711,905-713-1272,http://www.ycdsb.ca
Central Region,B66095,York Region District School Board,English,Pub Dist Sch Brd (E/F),,,60 Wellington St W,Aurora,Ontario,L4G3H2,416-969-7170,905-727-1931,http://www.yrdsb.ca
